Process A: arrival time 2104ms; tau 1000ms; 92 CPU bursts:
--> CPU burst 387ms --> I/O burst 1190ms
--> CPU burst 957ms --> I/O burst 5140ms
--> CPU burst 319ms --> I/O burst 18510ms
--> CPU burst 893ms --> I/O burst 7260ms
--> CPU burst 143ms --> I/O burst 6260ms
--> CPU burst 1995ms --> I/O burst 7800ms
--> CPU burst 500ms --> I/O burst 1860ms
--> CPU burst 606ms --> I/O burst 12160ms
--> CPU burst 103ms --> I/O burst 1200ms
--> CPU burst 1405ms --> I/O burst 11860ms
--> CPU burst 1956ms --> I/O burst 1810ms
--> CPU burst 1078ms --> I/O burst 7630ms
--> CPU burst 1482ms --> I/O burst 4130ms
--> CPU burst 2028ms --> I/O burst 2290ms
--> CPU burst 243ms --> I/O burst 7000ms
--> CPU burst 1339ms --> I/O burst 7860ms
--> CPU burst 14ms --> I/O burst 14720ms
--> CPU burst 1449ms --> I/O burst 8630ms
--> CPU burst 259ms --> I/O burst 1720ms
--> CPU burst 1889ms --> I/O burst 950ms
--> CPU burst 341ms --> I/O burst 3230ms
--> CPU burst 1191ms --> I/O burst 540ms
--> CPU burst 661ms --> I/O burst 33330ms
--> CPU burst 247ms --> I/O burst 10470ms
--> CPU burst 769ms --> I/O burst 25630ms
--> CPU burst 518ms --> I/O burst 9760ms
--> CPU burst 137ms --> I/O burst 11900ms
--> CPU burst 1008ms --> I/O burst 3690ms
--> CPU burst 1532ms --> I/O burst 1030ms
--> CPU burst 1533ms --> I/O burst 16030ms
--> CPU burst 332ms --> I/O burst 9420ms
--> CPU burst 2348ms --> I/O burst 12810ms
--> CPU burst 96ms --> I/O burst 920ms
--> CPU burst 68ms --> I/O burst 930ms
--> CPU burst 1667ms --> I/O burst 8470ms
--> CPU burst 1291ms --> I/O burst 17460ms
--> CPU burst 86ms --> I/O burst 3030ms
--> CPU burst 207ms --> I/O burst 2350ms
--> CPU burst 128ms --> I/O burst 31630ms
--> CPU burst 965ms --> I/O burst 3450ms
--> CPU burst 436ms --> I/O burst 1600ms
--> CPU burst 113ms --> I/O burst 1940ms
--> CPU burst 649ms --> I/O burst 11020ms
--> CPU burst 382ms --> I/O burst 1390ms
--> CPU burst 558ms --> I/O burst 5930ms
--> CPU burst 2ms --> I/O burst 18940ms
--> CPU burst 39ms --> I/O burst 8360ms
--> CPU burst 415ms --> I/O burst 36650ms
--> CPU burst 1048ms --> I/O burst 1710ms
--> CPU burst 778ms --> I/O burst 1410ms
--> CPU burst 306ms --> I/O burst 14410ms
--> CPU burst 648ms --> I/O burst 6240ms
--> CPU burst 637ms --> I/O burst 9780ms
--> CPU burst 1810ms --> I/O burst 19160ms
--> CPU burst 1556ms --> I/O burst 890ms
--> CPU burst 525ms --> I/O burst 11720ms
--> CPU burst 6ms --> I/O burst 5820ms
--> CPU burst 118ms --> I/O burst 6090ms
--> CPU burst 11ms --> I/O burst 760ms
--> CPU burst 1757ms --> I/O burst 56890ms
--> CPU burst 610ms --> I/O burst 11170ms
--> CPU burst 1145ms --> I/O burst 18440ms
--> CPU burst 1174ms --> I/O burst 14390ms
--> CPU burst 212ms --> I/O burst 5290ms
--> CPU burst 156ms --> I/O burst 27380ms
--> CPU burst 720ms --> I/O burst 3190ms
--> CPU burst 1595ms --> I/O burst 5270ms
--> CPU burst 700ms --> I/O burst 13350ms
--> CPU burst 336ms --> I/O burst 4460ms
--> CPU burst 434ms --> I/O burst 25490ms
--> CPU burst 722ms --> I/O burst 1800ms
--> CPU burst 692ms --> I/O burst 15510ms
--> CPU burst 625ms --> I/O burst 5800ms
--> CPU burst 307ms --> I/O burst 9330ms
--> CPU burst 3058ms --> I/O burst 8720ms
--> CPU burst 67ms --> I/O burst 5050ms
--> CPU burst 2017ms --> I/O burst 2600ms
--> CPU burst 446ms --> I/O burst 4950ms
--> CPU burst 702ms --> I/O burst 8990ms
--> CPU burst 1989ms --> I/O burst 13750ms
--> CPU burst 1656ms --> I/O burst 2540ms
--> CPU burst 684ms --> I/O burst 1300ms
--> CPU burst 57ms --> I/O burst 5120ms
--> CPU burst 1760ms --> I/O burst 1910ms
--> CPU burst 2653ms --> I/O burst 12620ms
--> CPU burst 2065ms --> I/O burst 8280ms
--> CPU burst 506ms --> I/O burst 6110ms
--> CPU burst 624ms --> I/O burst 21880ms
--> CPU burst 792ms --> I/O burst 1840ms
--> CPU burst 1112ms --> I/O burst 8680ms
--> CPU burst 122ms --> I/O burst 5290ms
--> CPU burst 1623ms
Process B: arrival time 184ms; tau 1000ms; 80 CPU bursts:
--> CPU burst 807ms --> I/O burst 1480ms
--> CPU burst 2121ms --> I/O burst 330ms
--> CPU burst 891ms --> I/O burst 3810ms
--> CPU burst 329ms --> I/O burst 3270ms
--> CPU burst 460ms --> I/O burst 56750ms
--> CPU burst 65ms --> I/O burst 30960ms
--> CPU burst 256ms --> I/O burst 2130ms
--> CPU burst 2276ms --> I/O burst 10930ms
--> CPU burst 286ms --> I/O burst 6890ms
--> CPU burst 196ms --> I/O burst 25090ms
--> CPU burst 292ms --> I/O burst 100ms
--> CPU burst 6257ms --> I/O burst 2200ms
--> CPU burst 2325ms --> I/O burst 300ms
--> CPU burst 1249ms --> I/O burst 6800ms
--> CPU burst 89ms --> I/O burst 1620ms
--> CPU burst 124ms --> I/O burst 2250ms
--> CPU burst 262ms --> I/O burst 24350ms
--> CPU burst 1583ms --> I/O burst 19780ms
--> CPU burst 413ms --> I/O burst 990ms
--> CPU burst 653ms --> I/O burst 23550ms
--> CPU burst 186ms --> I/O burst 13910ms
--> CPU burst 801ms --> I/O burst 5480ms
--> CPU burst 6058ms --> I/O burst 2850ms
--> CPU burst 2586ms --> I/O burst 32360ms
--> CPU burst 2928ms --> I/O burst 8990ms
--> CPU burst 2321ms --> I/O burst 6950ms
--> CPU burst 4530ms --> I/O burst 26910ms
--> CPU burst 798ms --> I/O burst 2510ms
--> CPU burst 9ms --> I/O burst 1300ms
--> CPU burst 947ms --> I/O burst 7110ms
--> CPU burst 937ms --> I/O burst 19340ms
--> CPU burst 1978ms --> I/O burst 2380ms
--> CPU burst 3769ms --> I/O burst 1660ms
--> CPU burst 249ms --> I/O burst 4630ms
--> CPU burst 1103ms --> I/O burst 8780ms
--> CPU burst 1216ms --> I/O burst 3330ms
--> CPU burst 720ms --> I/O burst 19700ms
--> CPU burst 621ms --> I/O burst 7040ms
--> CPU burst 1013ms --> I/O burst 4540ms
--> CPU burst 609ms --> I/O burst 5570ms
--> CPU burst 3642ms --> I/O burst 5240ms
--> CPU burst 18ms --> I/O burst 17870ms
--> CPU burst 491ms --> I/O burst 630ms
--> CPU burst 4053ms --> I/O burst 34750ms
--> CPU burst 270ms --> I/O burst 42230ms
--> CPU burst 1864ms --> I/O burst 4810ms
--> CPU burst 764ms --> I/O burst 41580ms
--> CPU burst 599ms --> I/O burst 110ms
--> CPU burst 4328ms --> I/O burst 12470ms
--> CPU burst 43ms --> I/O burst 50320ms
--> CPU burst 970ms --> I/O burst 100ms
--> CPU burst 769ms --> I/O burst 6200ms
--> CPU burst 239ms --> I/O burst 4410ms
--> CPU burst 3ms --> I/O burst 4880ms
--> CPU burst 1224ms --> I/O burst 7600ms
--> CPU burst 1088ms --> I/O burst 16830ms
--> CPU burst 655ms --> I/O burst 6340ms
--> CPU burst 1601ms --> I/O burst 6060ms
--> CPU burst 136ms --> I/O burst 11030ms
--> CPU burst 1233ms --> I/O burst 6190ms
--> CPU burst 4095ms --> I/O burst 2800ms
--> CPU burst 2870ms --> I/O burst 1520ms
--> CPU burst 578ms --> I/O burst 5680ms
--> CPU burst 221ms --> I/O burst 4860ms
--> CPU burst 108ms --> I/O burst 2160ms
--> CPU burst 377ms --> I/O burst 7010ms
--> CPU burst 1186ms --> I/O burst 10420ms
